Source,Target,Color
EECE 2150,GE 1111,red
EECE 2150,GE 1502,red
EECE 2150,MATH 2341,red
EECE 2150,PHYS 1155,red
EECE 2150,PHYS 1165,red
EECE 2150,PHYS 1175,red
EECE 2150,EECE 2140,red
EECE 2160,EECE 2140,red
EECE 2160,CS 2510,red
EECE 2210,MATH 1342,red
EECE 2210,EECE 2211,blue
EECE 2211,EECE 2210,blue
EECE 2310,CS 1800,red
EECE 2310,EECE 2311,blue
EECE 2311,EECE 2310,blue
EECE 2322,EECE 2160,red
EECE 2322,EECE 2323,blue
EECE 2323,EECE 2322,blue
EECE 2412,EECE 2150,red
EECE 2412,EECE 2210,red
EECE 2412,BIOE 3210,red
EECE 2412,EECE 2413,blue
EECE 2413,EECE 2412,blue
EECE 2520,EECE 2150,red
EECE 2520,EECE 2210,red
EECE 2520,BIOE 3210,red
EECE 2520,MATH 2341,red
EECE 2530,EECE 2150,red
EECE 2530,EECE 2210,red
EECE 2530,BIOE 3210,red
EECE 2530,MATH 2321,red
EECE 2530,PHYS 1155,red
EECE 2530,PHYS 1165,red
EECE 2530,PHYS 1175,red
EECE 2530,EECE 2531,blue
EECE 2531,BIOE 3210,red
EECE 2531,EECE 2150,red
EECE 2531,EECE 2210,red
EECE 2531,MATH 2321,red
EECE 2531,PHYS 1155,red
EECE 2531,PHYS 1165,red
EECE 2531,PHYS 1175,red
EECE 2531,EECE 2530,blue
EECE 2540,EECE 2140,red
EECE 2560,EECE 2160,red
EECE 3324,EECE 2322,red
EECE 3324,EECE 2323,red
EECE 3400,EECE 2150,red
EECE 3400,MATH 2341,red
EECE 3410,EECE 2412,red
EECE 3468,EECE 2150,red
EECE 3468,MATH 2341,red
EECE 4512,EECE 2210,red
EECE 4512,EECE 2412,red
EECE 4512,BIOE 3210,red
EECE 4520,CS 3000,red
EECE 4520,EECE 2560,red
EECE 4534,EECE 3324,red
EECE 4534,CS 3650,red
EECE 4534,EECE 4535,blue
EECE 4535,EECE 4534,blue
EECE 4574,EECE 2412,red
EECE 4604,EECE 2412,red
EECE 4630,EECE 2160,red
EECE 4630,EECE 2412,red
EECE 4632,EECE 2322,red
EECE 4646,BIOE 3210,red
EECE 4646,EECE 2150,red
EECE 4646,EECE 2210,red
EECE 4646,PHYS 1155,red
EECE 4649,MATH 1242,red
EECE 4649,MATH 1342,red
EECE 4649,PHYS 1145,red
EECE 4649,PHYS 1151,red
EECE 4649,PHYS 1171,red
EECE 4694,MATH 2341,red
EECE 4694,GE 1111,red
EECE 4694,GE 1502,red
EECE 4790,EECE 2322,red
EECE 4790,EECE 2412,red
EECE 4790,EECE 2520,red
EECE 4790,EECE 2530,red
EECE 4790,EECE 2540,red
EECE 4790,EECE 2560,red
