code,name,credits,category
GE 1501,Cornerstone of Engineering 1,4,General/Uncategorized
GE 1502,Cornerstone of Engineering 2,4,General/Uncategorized
EECE 1990,Elective,1-4,General/Uncategorized
EECE 2140,Computing Fundamentals for Engineers,4,Software Engineering
EECE 2150,Circuits and Signals: Biomedical Applications,5,Electrical Engineering/Hardware
EECE 2160,Embedded Design: Enabling Robotics,4,Embedded/Firmware Engineering
EECE 2210,Electrical Engineering,4,General/Uncategorized
EECE 2211,Lab for EECE 2210,1,General/Uncategorized
EECE 2310,Introduction to Digital Design and Computer Architecture,4,Embedded/Firmware Engineering
EECE 2311,Lab for EECE 2310,1,General/Uncategorized
EECE 2322,Fundamentals of Digital Design and Computer Organization,4,Embedded/Firmware Engineering
EECE 2323,Lab for EECE 2322,1,General/Uncategorized
EECE 2412,Fundamentals of Electronics,4,Electrical Engineering/Hardware
EECE 2413,Lab for EECE 2412,1,General/Uncategorized
EECE 2520,Fundamentals of Linear Systems,4,General/Uncategorized
EECE 2530,Fundamentals of Electromagnetics,4,Electrical Engineering/Hardware
EECE 2531,Lab for EECE 2530,1,General/Uncategorized
EECE 2540,Fundamentals of Networks,4,General/Uncategorized
EECE 2560,Fundamentals of Engineering Algorithms,4,Software Engineering
EECE 2750,Enabling Engineering,4,General/Uncategorized
EECE 2949,Introductory Directed Research in Electrical and Computer Engineering,4,General/Uncategorized
EECE 2990,Elective,1-4,General/Uncategorized
EECE 2992,Research,0,General/Uncategorized
EECE 3324,Computer Architecture and Organization,4,Embedded/Firmware Engineering
EECE 3392,Electronic Materials,4,General/Uncategorized
EECE 3400,Introduction to Communication Systems,4,Electrical Engineering/Hardware
EECE 3410,Electronic Design,4,General/Uncategorized
EECE 3468,Analysis of Random Phenomena in Electrical and Computer Engineering,4,General/Uncategorized
EECE 3990,Elective,1-4,General/Uncategorized
EECE 4512,Healthcare Technologies: Sensors Systems and Analysis,4,General/Uncategorized
EECE 4520,Software Engineering 1,4,Software Engineering
EECE 4534,Microprocessor-Based Design,4,Embedded/Firmware Engineering
EECE 4535,Lab for EECE 4534,1,General/Uncategorized
EECE 4574,Wireless Communication Circuits,4,Electrical Engineering/Hardware
EECE 4604,Integrated Circuit Devices,4,Electrical Engineering/Hardware
EECE 4630,Robotics,4,Embedded/Firmware Engineering
EECE 4632,Hardware-Software Codesign for FPGA-Based Systems,4,Electrical Engineering/Hardware
EECE 4638,Special Topics in Computer Engineering,4,General/Uncategorized
EECE 4646,Optics for Engineers,4,General/Uncategorized
EECE 4649,Biomedical Imaging Instrumentation,4,General/Uncategorized
EECE 4694,Numerical Methods and Computer Applications,4,General/Uncategorized
EECE 4791,Electrical and Computer Engineering Capstone 1,1,General/Uncategorized
EECE 4792,Electrical and Computer Engineering Capstone 2,4,General/Uncategorized
EECE 4990,Elective,1-4,General/Uncategorized
EECE 4991,Research,4,General/Uncategorized
EECE 4992,Directed Study,1-4,General/Uncategorized
EECE 5115,Dynamical Systems in Biological Engineering,4,General/Uncategorized
EECE 5155,Wireless Sensor Networks and the Internet of Things,4,General/Uncategorized
EECE 5161,Thin Film Technologies,4,General/Uncategorized
EECE 5170,Introduction to Multiferroics Materials and Systems,4,General/Uncategorized
EECE 5360,Combinatorial Optimization,4,General/Uncategorized
EECE 5550,Mobile Robotics,4,Embedded/Firmware Engineering
EECE 5552,Assistive Robotics,4,Embedded/Firmware Engineering
EECE 5554,Robotics Sensing and Navigation,4,Embedded/Firmware Engineering
EECE 5576,Wireless Communication Systems,4,Electrical Engineering/Hardware
EECE 5580,Classical Control Systems,4,General/Uncategorized
EECE 5582,Making Systems Reliable—An Introduction to Coding Theory,4,General/Uncategorized
EECE 5606,Micro- and Nanofabrication,4,General/Uncategorized
EECE 5608,Magnetic Materials for Next-Generation Electronics,4,Electrical Engineering/Hardware
EECE 5610,Digital Control Systems,4,General/Uncategorized
EECE 5612,Statistical Inference: An Introduction for Engineers and Data Analysts,4,Software Engineering
EECE 5614,Reinforcement Learning and Decision Making Under Uncertainty,4,General/Uncategorized
EECE 5626,Image Processing and Pattern Recognition,4,General/Uncategorized
EECE 5639,Computer Vision,4,General/Uncategorized
EECE 5640,High-Performance Computing,4,Electrical Engineering/Hardware
EECE 5641,Introduction to Software Security,4,Software Engineering
EECE 5642,Data Visualization,4,Software Engineering
EECE 5643,Simulation and Performance Evaluation,4,Electrical Engineering/Hardware
EECE 5644,Introduction to Machine Learning and Pattern Recognition,4,Software Engineering
EECE 5645,Parallel Processing for Data Analytics,4,Software Engineering
EECE 5647,Nanophotonics,4,General/Uncategorized
EECE 5649,Design of Analog Integrated Circuits with Complementary Metal-Oxide-Semiconductor Technology,4,Electrical Engineering/Hardware
EECE 5651,Introduction to Photonic Devices,4,Electrical Engineering/Hardware
EECE 5652,Microwave Circuits and Systems,4,Electrical Engineering/Hardware
